"ID","Campaña","PROMEDIO_SEMANAL_ENTREGA_CPV","PROMEDIO_SEMANAL_TOTAL_SOLICITUDES"
"BAJA CALIFORNIA-DTO-6","CAI_2020_2021",746.48,997.17
"BAJA CALIFORNIA-DTO-6","CAP_2018",500.57,785.71
"BAJA CALIFORNIA-DTO-6","CAP_2018_2019",1186.24,1230.95
"BAJA CALIFORNIA-DTO-6","CAP_2019_2020",969.55,880.45
"BAJA CALIFORNIA-DTO-6","Proceso Electoral Federal",838.37,449.7
"BAJA CALIFORNIA-DTO-7","CAI_2017_2018",1192.82,1381.95
"BAJA CALIFORNIA-DTO-7","CAI_2018",1541.21,1550.21
"BAJA CALIFORNIA-DTO-7","CAI_2019",1088.57,1170.43
"BAJA CALIFORNIA-DTO-7","CAI_2020_2021",937.96,1272.09
"BAJA CALIFORNIA-DTO-7","CAP_2018",563.43,950.57
"BAJA CALIFORNIA-DTO-7","CAP_2018_2019",1279.68,1319.87
"BAJA CALIFORNIA-DTO-7","CAP_2019_2020",989.1,937.25
"BAJA CALIFORNIA-DTO-7","Proceso Electoral Federal",1023,440.85
"BAJA CALIFORNIA-DTO-8","CAI_2017_2018",1330.5,1414.91
"BAJA CALIFORNIA-DTO-8","CAI_2018",1593.79,1596.43
"BAJA CALIFORNIA-DTO-8","CAI_2019",1129.79,1213.07
"BAJA CALIFORNIA-DTO-8","CAI_2020_2021",600.65,848.96
"BAJA CALIFORNIA-DTO-8","CAP_2018",639.29,981
"BAJA CALIFORNIA-DTO-8","CAP_2018_2019",1378.63,1422.66
"BAJA CALIFORNIA-DTO-8","CAP_2019_2020",940.1,831.4
"BAJA CALIFORNIA-DTO-8","Proceso Electoral Federal",949.26,602.56
"BAJA CALIFORNIA SUR-DTO-1","CAI_2017_2018",907.86,1046.27
"BAJA CALIFORNIA SUR-DTO-1","CAI_2018",963.93,1030.71
"BAJA CALIFORNIA SUR-DTO-1","CAI_2019",706.64,787.86
"BAJA CALIFORNIA SUR-DTO-1","CAI_2020_2021",1078.61,1177.52
"BAJA CALIFORNIA SUR-DTO-1","CAP_2018",414.71,583.57
"BAJA CALIFORNIA SUR-DTO-1","CAP_2018_2019",1223.95,1224.11
"BAJA CALIFORNIA SUR-DTO-1","CAP_2019_2020",846.1,841.5
"BAJA CALIFORNIA SUR-DTO-1","Proceso Electoral Federal",705.15,407.96
"BAJA CALIFORNIA SUR-DTO-2","CAI_2017_2018",830.18,925.05
"BAJA CALIFORNIA SUR-DTO-2","CAI_2018",943.07,944.14
"BAJA CALIFORNIA SUR-DTO-2","CAI_2019",829.07,919.36
"BAJA CALIFORNIA SUR-DTO-2","CAI_2020_2021",941.87,1087
"BAJA CALIFORNIA SUR-DTO-2","CAP_2018",413.57,657.86
"BAJA CALIFORNIA SUR-DTO-2","CAP_2018_2019",1122.47,1133.82
"BAJA CALIFORNIA SUR-DTO-2","CAP_2019_2020",885.5,831.3
"BAJA CALIFORNIA SUR-DTO-2","Proceso Electoral Federal",622.37,332.15
"CAMPECHE-DTO-1","CAI_2017_2018",1263,1431.45
"CAMPECHE-DTO-1","CAI_2018",1044.43,1067.57
"CAMPECHE-DTO-1","CAI_2019",824.71,936.71
"CAMPECHE-DTO-1","CAI_2020_2021",1066.83,1242.78
"CAMPECHE-DTO-1","CAP_2018",439.86,631.29
"CAMPECHE-DTO-1","CAP_2018_2019",1359.11,1374.92
"CAMPECHE-DTO-1","CAP_2019_2020",979.15,964.85
"CAMPECHE-DTO-1","Proceso Electoral Federal",881.89,449.3
"CAMPECHE-DTO-2","CAI_2017_2018",1082.36,1277.09
"CAMPECHE-DTO-2","CAI_2018",1097.64,1175.79
"CAMPECHE-DTO-2","CAI_2019",851.64,946.57
"CAMPECHE-DTO-2","CAI_2020_2021",907.65,1162.65
"CAMPECHE-DTO-2","CAP_2018",242.57,477.71
"CAMPECHE-DTO-2","CAP_2018_2019",1295.74,1307.03
"CAMPECHE-DTO-2","CAP_2019_2020",954.2,952.1
"CAMPECHE-DTO-2","Proceso Electoral Federal",936.93,358.85
"CHIAPAS-DTO-1","CAI_2017_2018",1064.09,1099.09
"CHIAPAS-DTO-1","CAI_2018",895.71,978.21
"CHIAPAS-DTO-1","CAI_2019",632.64,681
"CHIAPAS-DTO-1","CAI_2020_2021",560.65,698.26
"CHIAPAS-DTO-1","CAP_2018",132.86,379.71
"CHIAPAS-DTO-1","CAP_2018_2019",934.24,925.24
"CHIAPAS-DTO-1","CAP_2019_2020",624.35,585.1
"CHIAPAS-DTO-1","Proceso Electoral Federal",622.81,194.78
"CHIAPAS-DTO-10","CAI_2017_2018",1387.18,1631.18
"CHIAPAS-DTO-10","CAI_2018",943.93,1051.21
"CHIAPAS-DTO-10","CAI_2019",718.5,782.36
"CHIAPAS-DTO-10","CAI_2020_2021",813.26,1051.65
"CHIAPAS-DTO-10","CAP_2018",166.14,513
"CHIAPAS-DTO-10","CAP_2018_2019",1075.53,1052.55
"CHIAPAS-DTO-10","CAP_2019_2020",727.95,746.75
"CHIAPAS-DTO-10","Proceso Electoral Federal",965.7,284.89
"CHIAPAS-DTO-11","CAI_2017_2018",593.32,551.18
"CHIAPAS-DTO-11","CAI_2018",459.29,444.5
"CHIAPAS-DTO-11","CAI_2019",298.93,325.57
"CHIAPAS-DTO-11","CAI_2020_2021",403.57,488.39
"CHIAPAS-DTO-11","CAP_2018",22.14,227.43
"CHIAPAS-DTO-11","CAP_2018_2019",472.32,472.89
"CHIAPAS-DTO-11","CAP_2019_2020",349.8,366.7
"CHIAPAS-DTO-11","Proceso Electoral Federal",347.48,84.33
"CHIAPAS-DTO-12","CAI_2017_2018",1454.91,1567.91
"CHIAPAS-DTO-12","CAI_2018",1183.79,1179.86
"CHIAPAS-DTO-12","CAI_2019",871.07,956
"CHIAPAS-DTO-12","CAI_2020_2021",979.26,1132.43
"CHIAPAS-DTO-12","CAP_2018",479.57,717.86
"CHIAPAS-DTO-12","CAP_2018_2019",1335.32,1340.95
"CHIAPAS-DTO-12","CAP_2019_2020",955.15,930.45
"CHIAPAS-DTO-12","Proceso Electoral Federal",919.85,488.89
"CHIAPAS-DTO-13","CAI_2017_2018",967.68,1119.86
"CHIAPAS-DTO-13","CAI_2018",540.14,696
"CHIAPAS-DTO-13","CAI_2019",545.07,646
"CHIAPAS-DTO-13","CAI_2020_2021",720.39,850.91
"CHIAPAS-DTO-13","CAP_2018",39.71,219.29
"CHIAPAS-DTO-13","CAP_2018_2019",644.61,601.74
"CHIAPAS-DTO-13","CAP_2019_2020",531.05,686.2
"CHIAPAS-DTO-13","Proceso Electoral Federal",736.59,130.11
"CHIAPAS-DTO-2","CAI_2017_2018",1186,1742.45
"CHIAPAS-DTO-2","CAI_2018",736.14,1013.71
"CHIAPAS-DTO-2","CAI_2019",753.36,1073.57
"CHIAPAS-DTO-2","CAI_2020_2021",1025.26,1175.43
"CHIAPAS-DTO-2","CAP_2018",69.14,370.71
"CHIAPAS-DTO-2","CAP_2018_2019",1132.13,1074.03
"CHIAPAS-DTO-2","CAP_2019_2020",1006.55,899.25
"CHIAPAS-DTO-2","Proceso Electoral Federal",1069,230.44
"CHIAPAS-DTO-3","CAI_2017_2018",950.73,1166.55
"CHIAPAS-DTO-3","CAI_2018",902,1112.43
"CHIAPAS-DTO-3","CAI_2019",726.36,767.21
"CHIAPAS-DTO-3","CAI_2020_2021",645.74,781.74
"CHIAPAS-DTO-3","CAP_2018",197.71,481.43
"CHIAPAS-DTO-3","CAP_2018_2019",1196.26,1153.26
"CHIAPAS-DTO-3","CAP_2019_2020",604.25,631.55
"CHIAPAS-DTO-3","Proceso Electoral Federal",779.74,206.89
"CHIAPAS-DTO-4","CAI_2017_2018",1047.91,1218.77
"CHIAPAS-DTO-4","CAI_2018",667.86,792.71
"CHIAPAS-DTO-4","CAI_2019",628.5,652.43
"CHIAPAS-DTO-4","CAI_2020_2021",854.7,1033
"CHIAPAS-DTO-4","CAP_2018",147.14,348.14
"CHIAPAS-DTO-4","CAP_2018_2019",982.74,978.29
"CHIAPAS-DTO-4","CAP_2019_2020",546.2,559.35
"CHIAPAS-DTO-4","Proceso Electoral Federal",741.56,223.22
"CHIAPAS-DTO-5","CAI_2017_2018",1540.05,1673.41
"CHIAPAS-DTO-5","CAI_2018",1206.71,1216.79
"CHIAPAS-DTO-5","CAI_2019",887.43,1014.93
"CHIAPAS-DTO-5","CAI_2020_2021",846.83,928
"CHIAPAS-DTO-5","CAP_2018",521,832.86
"CHIAPAS-DTO-5","CAP_2018_2019",1235.87,1233.13
"CHIAPAS-DTO-5","CAP_2019_2020",881.2,803.85
"CHIAPAS-DTO-5","Proceso Electoral Federal",731.07,356.3
"CHIAPAS-DTO-6","CAI_2017_2018",1186,1329.09
"CHIAPAS-DTO-6","CAI_2018",1135.64,1204.29
"CHIAPAS-DTO-6","CAI_2019",900.71,1023.57
"CHIAPAS-DTO-6","CAI_2020_2021",1050.13,1210.96
"CHIAPAS-DTO-6","CAP_2018",341,631.14
"CHIAPAS-DTO-6","CAP_2018_2019",1448.82,1444.08
"CHIAPAS-DTO-6","CAP_2019_2020",901.6,893.05
"CHIAPAS-DTO-6","Proceso Electoral Federal",885.44,410.59
"CHIAPAS-DTO-7","CAI_2017_2018",1349.77,1532
"CHIAPAS-DTO-7","CAI_2018",1092.79,1161
"CHIAPAS-DTO-7","CAI_2019",879.36,965.79
"CHIAPAS-DTO-7","CAI_2020_2021",1158.52,1315.74
"CHIAPAS-DTO-7","CAP_2018",240.71,530.57
"CHIAPAS-DTO-7","CAP_2018_2019",1297.18,1299.26
"CHIAPAS-DTO-7","CAP_2019_2020",893.95,838.4
"CHIAPAS-DTO-7","Proceso Electoral Federal",822.7,382
"CHIAPAS-DTO-8","CAI_2017_2018",1525.23,1641.27
"CHIAPAS-DTO-8","CAI_2018",1122.71,1151
"CHIAPAS-DTO-8","CAI_2019",806.07,1062.07
"CHIAPAS-DTO-8","CAI_2020_2021",882,1021.43
"CHIAPAS-DTO-8","CAP_2018",270.29,683
"CHIAPAS-DTO-8","CAP_2018_2019",1243.5,1251.92
"CHIAPAS-DTO-8","CAP_2019_2020",995.65,807.45
"CHIAPAS-DTO-8","Proceso Electoral Federal",824.89,324.07
"CHIAPAS-DTO-9","CAI_2017_2018",1491.18,1665.77
"CHIAPAS-DTO-9","CAI_2018",1168.43,1158.36
"CHIAPAS-DTO-9","CAI_2019",914.93,1016.57
"CHIAPAS-DTO-9","CAI_2020_2021",993.61,1031.57
"CHIAPAS-DTO-9","CAP_2018",537,746.86
"CHIAPAS-DTO-9","CAP_2018_2019",1290.5,1304.42
"CHIAPAS-DTO-9","CAP_2019_2020",915.15,881.9
"CHIAPAS-DTO-9","Proceso Electoral Federal",909.63,578.04
"CHIHUAHUA-DTO-1","CAI_2017_2018",727.82,809.86
"CHIHUAHUA-DTO-1","CAI_2018",917.36,960.14
"CHIHUAHUA-DTO-1","CAI_2019",688.79,794.21
"CHIHUAHUA-DTO-1","CAI_2020_2021",552.17,606.65
"CHIHUAHUA-DTO-1","CAP_2018",375,520.14
"CHIHUAHUA-DTO-1","CAP_2018_2019",1025.18,1029.11
"CHIHUAHUA-DTO-1","CAP_2019_2020",601.2,553.3
"CHIHUAHUA-DTO-1","Proceso Electoral Federal",449.33,287.52
"CHIHUAHUA-DTO-2","CAI_2017_2018",1333.86,1476.95
"CHIHUAHUA-DTO-2","CAI_2018",1444,1465.71
"CHIHUAHUA-DTO-2","CAI_2019",1223.57,1354.93
"CHIHUAHUA-DTO-2","CAI_2020_2021",1485.91,1684.65
"CHIHUAHUA-DTO-2","CAP_2018",563.71,944.86
"CHIHUAHUA-DTO-2","CAP_2018_2019",1896.61,1928.87
"CHIHUAHUA-DTO-2","CAP_2019_2020",1297.25,1367.05
"CHIHUAHUA-DTO-2","Proceso Electoral Federal",896.74,411
"CHIHUAHUA-DTO-3","CAI_2017_2018",1140.77,1253.45
"CHIHUAHUA-DTO-3","CAI_2018",1216.79,1243.64
"CHIHUAHUA-DTO-3","CAI_2019",960.86,1092.07
"CHIHUAHUA-DTO-3","CAI_2020_2021",834.26,953
"CHIHUAHUA-DTO-3","CAP_2018",603.57,776.43
"CHIHUAHUA-DTO-3","CAP_2018_2019",1310.5,1314.37
"CHIHUAHUA-DTO-3","CAP_2019_2020",868.8,833.5
"CHIHUAHUA-DTO-3","Proceso Electoral Federal",677.96,413.48
"CHIHUAHUA-DTO-4","CAI_2017_2018",921.77,1063.27
"CHIHUAHUA-DTO-4","CAI_2018",1154.36,1214.29
"CHIHUAHUA-DTO-4","CAI_2019",912.21,1029.5
"CHIHUAHUA-DTO-4","CAI_2020_2021",1434.96,1583.91
"CHIHUAHUA-DTO-4","CAP_2018",505.43,706.71
"CHIHUAHUA-DTO-4","CAP_2018_2019",1453.97,1470.66
"CHIHUAHUA-DTO-4","CAP_2019_2020",1010.1,1065.9
"CHIHUAHUA-DTO-4","Proceso Electoral Federal",750.74,392.26
"CHIHUAHUA-DTO-5","CAI_2017_2018",864.55,1040.91
"CHIHUAHUA-DTO-5","CAI_2018",979,1029.14
"CHIHUAHUA-DTO-5","CAI_2019",740.86,801.64
"CHIHUAHUA-DTO-5","CAI_2020_2021",746.13,936.61
"CHIHUAHUA-DTO-5","CAP_2018",253.71,516
"CHIHUAHUA-DTO-5","CAP_2018_2019",1147.26,1163.95
"CHIHUAHUA-DTO-5","CAP_2019_2020",848.85,858.35
"CHIHUAHUA-DTO-5","Proceso Electoral Federal",675.15,219.19
"CHIHUAHUA-DTO-6","CAI_2017_2018",1288.59,1477.09
"CHIHUAHUA-DTO-6","CAI_2018",1402.93,1441.14
"CHIHUAHUA-DTO-6","CAI_2019",897.5,936.64
"CHIHUAHUA-DTO-6","CAI_2020_2021",977.43,1112.13
"CHIHUAHUA-DTO-6","CAP_2018",686.57,941
"CHIHUAHUA-DTO-6","CAP_2018_2019",1754.82,1766.42
"CHIHUAHUA-DTO-6","CAP_2019_2020",909,892.9
"CHIHUAHUA-DTO-6","Proceso Electoral Federal",831.44,465.04
"CHIHUAHUA-DTO-7","CAI_2017_2018",684.55,846
"CHIHUAHUA-DTO-7","CAI_2018",908.71,995
"CHIHUAHUA-DTO-7","CAI_2019",725.14,720.57
"CHIHUAHUA-DTO-7","CAI_2020_2021",663.35,870.39
"CHIHUAHUA-DTO-7","CAP_2018",238.29,566.71
"CHIHUAHUA-DTO-7","CAP_2018_2019",1088.82,1105.71
"CHIHUAHUA-DTO-7","CAP_2019_2020",685.15,695.7
"CHIHUAHUA-DTO-7","Proceso Electoral Federal",646.33,194.04
"CHIHUAHUA-DTO-8","CAI_2017_2018",1075.55,1189.32
"CHIHUAHUA-DTO-8","CAI_2018",1237.79,1264.64
"CHIHUAHUA-DTO-8","CAI_2019",1089.64,1340.86
"CHIHUAHUA-DTO-8","CAI_2020_2021",1354,1549.39
"CHIHUAHUA-DTO-8","CAP_2018",593.57,802.86
"CHIHUAHUA-DTO-8","CAP_2018_2019",1475.61,1489.13
"CHIHUAHUA-DTO-8","CAP_2019_2020",1480.3,1444.55
"CHIHUAHUA-DTO-8","Proceso Electoral Federal",895.33,491.33
"CHIHUAHUA-DTO-9","CAI_2017_2018",613.36,778.45
"CHIHUAHUA-DTO-9","CAI_2018",787.29,888.29
"CHIHUAHUA-DTO-9","CAI_2019",554.57,617.21
"CHIHUAHUA-DTO-9","CAI_2020_2021",688.13,921.61
"CHIHUAHUA-DTO-9","CAP_2018",162.57,407.29
"CHIHUAHUA-DTO-9","CAP_2018_2019",1004.74,991.89
"CHIHUAHUA-DTO-9","CAP_2019_2020",585.3,626.45
"CHIHUAHUA-DTO-9","Proceso Electoral Federal",638.11,142.74
"CIUDAD DE MEXICO-DTO-1","CAI_2017_2018",595.09,619.41
"CIUDAD DE MEXICO-DTO-1","CAI_2018",608.86,622.43
"CIUDAD DE MEXICO-DTO-1","CAI_2019",450.93,501.07
"CIUDAD DE MEXICO-DTO-1","CAI_2020_2021",403.87,443.17
"CIUDAD DE MEXICO-DTO-1","CAP_2018",334.57,432.71
"CIUDAD DE MEXICO-DTO-1","CAP_2018_2019",698.68,698.05
"CIUDAD DE MEXICO-DTO-1","CAP_2019_2020",481.5,452
"CIUDAD DE MEXICO-DTO-1","Proceso Electoral Federal",458.11,317.59
"CIUDAD DE MEXICO-DTO-10","CAI_2017_2018",928.86,1009.86
"CIUDAD DE MEXICO-DTO-10","CAI_2018",987.29,1015
"CIUDAD DE MEXICO-DTO-10","CAI_2019",793.21,876.57
"CIUDAD DE MEXICO-DTO-10","CAI_2020_2021",494.17,628.39
"CIUDAD DE MEXICO-DTO-10","CAP_2018",531.71,680
"CIUDAD DE MEXICO-DTO-10","CAP_2018_2019",1208.26,1216.53
"CIUDAD DE MEXICO-DTO-10","CAP_2019_2020",889.85,864.3
"CIUDAD DE MEXICO-DTO-10","Proceso Electoral Federal",813.44,535.15
"CIUDAD DE MEXICO-DTO-11","CAI_2017_2018",1325.77,1502.95
"CIUDAD DE MEXICO-DTO-11","CAI_2018",1453.57,1520.29
"CIUDAD DE MEXICO-DTO-11","CAI_2019",1066.57,1242.07
"CIUDAD DE MEXICO-DTO-11","CAI_2020_2021",917.39,1047.65
"CIUDAD DE MEXICO-DTO-11","CAP_2018",717.29,892.86
"CIUDAD DE MEXICO-DTO-11","CAP_2018_2019",1699.79,1697.47
"CIUDAD DE MEXICO-DTO-11","CAP_2019_2020",1141.2,1054.2
"CIUDAD DE MEXICO-DTO-11","Proceso Electoral Federal",1123.19,826.15
"CIUDAD DE MEXICO-DTO-12","CAI_2017_2018",1437.14,1581.23
"CIUDAD DE MEXICO-DTO-12","CAI_2018",1567.07,1635
"CIUDAD DE MEXICO-DTO-12","CAI_2019",1217.43,1385.79
"CIUDAD DE MEXICO-DTO-12","CAI_2020_2021",1068.26,1256.48
"CIUDAD DE MEXICO-DTO-12","CAP_2018",948.71,1069
"CIUDAD DE MEXICO-DTO-12","CAP_2018_2019",2014.58,2026.68
"CIUDAD DE MEXICO-DTO-12","CAP_2019_2020",1399.6,1329.55
"CIUDAD DE MEXICO-DTO-12","Proceso Electoral Federal",1297.11,850.93
"CIUDAD DE MEXICO-DTO-13","CAI_2017_2018",903.77,1019.64
"CIUDAD DE MEXICO-DTO-13","CAI_2018",1016.07,1034.79
"CIUDAD DE MEXICO-DTO-13","CAI_2019",760.36,864.36
"CIUDAD DE MEXICO-DTO-13","CAI_2020_2021",619.13,652.57
"CIUDAD DE MEXICO-DTO-13","CAP_2018",536,708
"CIUDAD DE MEXICO-DTO-13","CAP_2018_2019",1175.63,1183.66
"CIUDAD DE MEXICO-DTO-13","CAP_2019_2020",811.3,760.05
"CIUDAD DE MEXICO-DTO-13","Proceso Electoral Federal",779.19,565.78
"CIUDAD DE MEXICO-DTO-14","CAI_2017_2018",703.18,754.59
"CIUDAD DE MEXICO-DTO-14","CAI_2018",756.57,787.29
"CIUDAD DE MEXICO-DTO-14","CAI_2019",696.36,761.29
"CIUDAD DE MEXICO-DTO-14","CAI_2020_2021",740.52,830.52
"CIUDAD DE MEXICO-DTO-14","CAP_2018",423.86,564.86
"CIUDAD DE MEXICO-DTO-14","CAP_2018_2019",936,935.26
"CIUDAD DE MEXICO-DTO-14","CAP_2019_2020",605.95,572.4
"CIUDAD DE MEXICO-DTO-14","Proceso Electoral Federal",629.85,423.74
"CIUDAD DE MEXICO-DTO-15","CAI_2017_2018",2319.77,2615.09
"CIUDAD DE MEXICO-DTO-15","CAI_2018",2453.5,2530.21
"CIUDAD DE MEXICO-DTO-15","CAI_2019",1815.5,2071.29
"CIUDAD DE MEXICO-DTO-15","CAI_2020_2021",1254.96,1390.91
"CIUDAD DE MEXICO-DTO-15","CAP_2018",1391.86,1716.43
"CIUDAD DE MEXICO-DTO-15","CAP_2018_2019",2946.18,2966.68
"CIUDAD DE MEXICO-DTO-15","CAP_2019_2020",2021.55,1885
"CIUDAD DE MEXICO-DTO-15","Proceso Electoral Federal",1820.48,1320.93
"CIUDAD DE MEXICO-DTO-16","CAI_2017_2018",1734.14,1907.68
"CIUDAD DE MEXICO-DTO-16","CAI_2018",1932.43,2031.43
"CIUDAD DE MEXICO-DTO-16","CAI_2019",1389.36,1562.21
"CIUDAD DE MEXICO-DTO-16","CAI_2020_2021",1305.52,1413.65
"CIUDAD DE MEXICO-DTO-16","CAP_2018",1201.29,1310
"CIUDAD DE MEXICO-DTO-16","CAP_2018_2019",2170.74,2173.42
"CIUDAD DE MEXICO-DTO-16","CAP_2019_2020",1468.4,1380.9
"CIUDAD DE MEXICO-DTO-16","Proceso Electoral Federal",1424.63,1087.52
"CIUDAD DE MEXICO-DTO-17","CAI_2017_2018",804.68,869.73
"CIUDAD DE MEXICO-DTO-17","CAI_2018",901.14,915.5
"CIUDAD DE MEXICO-DTO-17","CAI_2019",687.07,740.21
"CIUDAD DE MEXICO-DTO-17","CAI_2020_2021",819.61,920.78
"CIUDAD DE MEXICO-DTO-17","CAP_2018",565.43,644.86
"CIUDAD DE MEXICO-DTO-17","CAP_2018_2019",987.26,995.21
"CIUDAD DE MEXICO-DTO-17","CAP_2019_2020",640.35,639.35
"CIUDAD DE MEXICO-DTO-17","Proceso Electoral Federal",695.48,475.63
"CIUDAD DE MEXICO-DTO-18","CAI_2017_2018",1331.27,1483.23
"CIUDAD DE MEXICO-DTO-18","CAI_2018",1508.43,1557.07
"CIUDAD DE MEXICO-DTO-18","CAI_2019",990.21,1130.07
"CIUDAD DE MEXICO-DTO-18","CAI_2020_2021",835.7,1052.22
"CIUDAD DE MEXICO-DTO-18","CAP_2018",854.14,988.57
"CIUDAD DE MEXICO-DTO-18","CAP_2018_2019",1744.39,1740.68
"CIUDAD DE MEXICO-DTO-18","CAP_2019_2020",1083.2,1035.9
"CIUDAD DE MEXICO-DTO-18","Proceso Electoral Federal",1175.56,774.41
"CIUDAD DE MEXICO-DTO-19","CAI_2017_2018",1196.05,1285.91
"CIUDAD DE MEXICO-DTO-19","CAI_2018",1212.93,1230.36
"CIUDAD DE MEXICO-DTO-19","CAI_2019",967.14,1108.5
"CIUDAD DE MEXICO-DTO-19","CAI_2020_2021",682.65,833.09
"CIUDAD DE MEXICO-DTO-19","CAP_2018",471.43,727.43
"CIUDAD DE MEXICO-DTO-19","CAP_2018_2019",1478.55,1494.66
"CIUDAD DE MEXICO-DTO-19","CAP_2019_2020",1040.75,952.7
"CIUDAD DE MEXICO-DTO-19","Proceso Electoral Federal",938.85,634.74
"CIUDAD DE MEXICO-DTO-2","CAI_2017_2018",2186.18,2507.14
"CIUDAD DE MEXICO-DTO-2","CAI_2018",2554.86,2605.21
